1 & 317.65422010421753 & 32.85132646560669 \\ \hline
2 & 727.0917088985443 & 71.49042820930481 \\ \hline
3 & 758.4566628932953 & 77.87510681152344 \\ \hline
4 & 632.8856766223907 & 53.42876601219177 \\ \hline
5 & 969.6213331222534 & 76.63058876991272 \\ \hline
6 & 551.5426013469696 & 51.76831030845642 \\ \hline
7 & 549.7963407039642 & 50.61747765541077 \\ \hline
8 & 215.42067408561707 & 19.994951486587524 \\ \hline
9 & 941.3053257465363 & 127.0463936328888 \\ \hline
10 & 556.2022368907928 & 51.74475026130676 \\ \hline
11 & 550.7740497589111 & 50.26766014099121 \\ \hline
12 & 557.1744647026062 & 51.22449493408203 \\ \hline
13 & 551.354736328125 & 51.27533149719238 \\ \hline
14 & 825.4693264961243 & 77.69612312316895 \\ \hline
15 & 554.4302823543549 & 51.67805624008179 \\ \hline
16 & 551.0740849971771 & 51.072521448135376 \\ \hline
17 & 554.3617632389069 & 51.167301177978516 \\ \hline
18 & 559.6617214679718 & 51.23953318595886 \\ \hline
