file_name|uaci(pixel wise)|uaci(channel wise)
lena_color_256.tif|97.34891247591783|32.44963749197261
fruits.png|97.58440427540033|32.52813475846678
boat.png|97.59137415214059|32.53045805071353
woman_blonde.tif|97.57254399884434|32.52418133294812
lena_gray_256.tif|97.35893780721655|32.45297926907219
cameraman.tif|97.66297376298738|32.55432458766246
pirate.tif|97.67343245377484|32.557810817924945
woman_darkhair.tif|97.59112610880699|32.53037536960233
lena.bmp|97.54390027882854|32.51463342627618
livingroom.tif|97.58711689702723|32.529038965675745
lena_gray_512.tif|97.60376715812895|32.53458905270965
mandril_color.tif|97.56757502848403|32.52252500949467
tulips.png|97.66894309539306|32.556314365131016
peppers.png|97.69122251627454|32.56374083875818
lena_color_512.tif|97.61829213884965|32.53943071294989
mandril_gray.tif|97.61254803307186|32.53751601102395
baboon.png|97.59529175700737|32.53176391900246
barbara.bmp|97.64972669870266|32.549908899567555
